event_id	SRR1513329_Sample1	tpm1_sample1	tpm2_sample1	PSI_original_sample1	PSI_switched_sample1	DeltaPSI_sample1	SRR1513330_Sample1	tpm1_sample2	tpm2_sample2	PSI_original_sample2	PSI_switched_sample2	DeltaPSI_sample2	SRR1513331_Sample1	tpm1	tpm2	PSI_original	PSI_switched	DeltaPSI	gene	meanDeltaPSI	significant	event_type
FERMT3;A3:chr11:63987261-63987351:63987261-63987363:+	0	0	0.5	0	1	1	0	0	0.63	0	1	1	0	0	0.61	0	1	1	FERMT3	1	TRUE	A3
KIN;A3:chr10:7798105-7801853:7796032-7801853:-	0.268932610142	1.22	3.53	0.256842105263158	0.743157894736842	0.486315789473684	0.292295935078	1.38	3.25	0.298056155507559	0.701943844492441	0.403887688984881	0.399610188498	1.73	2.61	0.398617511520737	0.601382488479263	0.202764976958525	KIN	0.364322818333333	TRUE	A3
POGLUT1;A3:chr3:119196295-119198755:119196295-119198898:+	0.0463885452429	0.23	5.51	0.0400696864111498	0.95993031358885	0.9198606271777	0.0373968077673	0.22	6.62	0.0321637426900585	0.967836257309942	0.935672514619883	0.0353722675055	0.19	6.11	0.0301587301587302	0.96984126984127	0.93968253968254	POGLUT1	0.931738560533333	TRUE	A3
CTNS;A5:chr17:3540125-3540401:3540002-3540401:+	0.9726701	7.01	0.09	0.9873239	0.01267606	-0.9746479	0.961586	8	0.22	0.973236	0.02676399	-0.946472	0.8978497	7.26	0.62	0.9213198	0.0786802	-0.8426396	CTNS	-0.9212532	TRUE	A5
DGUOK-AS1;A5:chr2:74185334-74208236:74185334-74208262:-	0.884923327453	15.31	2.19	0.874857142857143	0.125142857142857	-0.749714285714286	0.874669900683	13.96	2.13	0.867619639527657	0.132380360472343	-0.735239279055314	0.785197501134	15.45	2.4	0.865546218487395	0.134453781512605	-0.73109243697479	DGUOK-AS1	-0.7386820007	TRUE	A5
C22orf23;A5:chr22:38349165-38349455:38349165-38349625:-	1	1.91	0	1	0	-1	0.3356501	0.65	1.35	0.325	0.675	0.35	1	2.25	0.02	0.9911894	0.008810573	-0.9823789	C22orf23	-0.5441263	TRUE	A5
LPPR2;A3:chr19:11468415-11470208:11468415-11470283:+	0.8081567	24.3	5.82	0.8067729	0.1932271	-0.6135458	0.7998035	23.07	6.89	0.7700267	0.2299733	-0.5400534	0.7339337	22.98	8.72	0.7249211	0.2750789	-0.4498423	LPPR2	-0.5344805	TRUE	A3
SDF4;A3:chr1:1153184-1153838:1153068-1153838:-	0.0536697758829	6.83	128.26	0.0505588866681472	0.949441113331853	0.898882226663706	0.0344543342563	4.19	126.92	0.0319578979482877	0.968042102051712	0.936084204103425	0.0388152401893	4.79	121.93	0.0377998737373737	0.962200126262626	0.924400252525252	SDF4	0.9197888947	TRUE	A3
RPL11;A3:chr1:24018319-24019099:24018319-24019102:+	0.870486552608	3049.62	462.54	0.868303266365997	0.131696733634003	-0.736606532731994	0.886656553754	3096.86	407.2	0.883791944201869	0.116208055798131	-0.767583888403737	0.87522557222	2910.85	417.25	0.874628166220967	0.125371833779033	-0.749256332441934	RPL11	-0.7511489178	TRUE	A3
ATP5G1;A5:chr17:46970272-46970771:46970202-46970771:+	0.0425694647492	24.24	599.37	0.0388704478760764	0.961129552123924	0.922259104247847	0.0426220193233	20.49	527.48	0.0373925579867511	0.962607442013249	0.925214884026498	0.0488623717539	26.29	562.78	0.044629670497564	0.955370329502436	0.910740659004872	ATP5G1	0.919404882333333	TRUE	A5
DHFRL1;A5:chr3:93780450-93781590:93780450-93781713:-	0.878676891432	1.72	0.2	0.895833333333333	0.104166666666667	-0.791666666666667	0.64925951553	1.66	1.18	0.584507042253521	0.415492957746479	-0.169014084507042	0.875996929567	2.31	0.27	0.895348837209302	0.104651162790698	-0.790697674418605	DHFRL1	-0.5837928085	TRUE	A5
CRK;A5:chr17:1326944-1339914:1326944-1340084:-	0.362185477754	23.12	55.47	0.294185010815625	0.705814989184375	0.411629978368749	0.429590861331	37.85	63.85	0.372173058013766	0.627826941986234	0.255653883972468	0.407767745885	35.57	64.87	0.354141776184787	0.645858223815213	0.291716447630426	CRK	0.31966677	TRUE	A5
SLC25A36;A3:chr3:140692847-140695102:140692847-140695105:+	1	10.59	0	1	0	-1	1	13.42	0	1	0	-1	1	13.24	0	1	0	-1	SLC25A36	-1	TRUE	A3
KMT2A;A5:chr11:118362033-118362459:118362024-118362459:+	0.000515701877044	0	2.25	0	1	1	0.477530972268	1.63	1.79	0.476608187134503	0.523391812865497	0.0467836257309941	0.20366930416	0.04	2.05	0.0191387559808612	0.980861244019139	0.961722488038278	KMT2A	0.6695020379	TRUE	A5
TCF19;A3:chr6:31126499-31126674:31126499-31126920:+	0.862046169578	52.3	17.84	0.745651554034788	0.254348445965212	-0.491303108069575	0.864505472109	54.64	20.94	0.722942577401429	0.277057422598571	-0.445885154802858	0.789336963414	48.96	23.84	0.672527472527473	0.327472527472527	-0.345054945054945	TCF19	-0.4274144026	TRUE	A3
MYO9B;A5:chr19:17322595-17322704:17322583-17322704:+	0.386196338958	7.43	5.33	0.582288401253918	0.417711598746081	-0.164576802507837	1.08135817136e-05	0	12.87	0	1	1	0.511133395816	5.71	6.78	0.457165732586069	0.542834267413931	0.0856685348278623	MYO9B	0.307030577333333	TRUE	A5
SORD;A3:chr15:45335619-45353180:45335619-45353265:+	0	0	119.25	0	1	1	0	0	119.29	0	1	1	0	0	117.2	0	1	1	SORD	1	TRUE	A3
SAMD8;A5:chr10:76871536-76910272:76871480-76910272:+	0.05088806	0.66	11.14	0.0559322	0.9440678	0.8881356	0.07532725	0.96	14.25	0.06311637	0.9368836	0.8737673	0.03380787	0.46	14.49	0.03076923	0.9692308	0.9384615	SAMD8	0.9001215	TRUE	A5
KIAA2018;A3:chr3:113380272-113383160:113368697-113383160:-	0.505037199591	0.56	1.05	0.347826086956522	0.652173913043478	0.304347826086957	0.666334261383	0.84	1.2	0.411764705882353	0.588235294117647	0.176470588235294	0.65233973778	0.55	0.73	0.4296875	0.5703125	0.140625	KIAA2018	0.207147804733333	TRUE	A3
SPRED3;A5:chr19:38881119-38882586:38881026-38882586:+	0.588861	1.65	0.7	0.7021277	0.2978723	-0.4042553	0.527683	0.96	0.94	0.5052632	0.4947368	-0.01052632	0.9820711	2.31	0.01	0.9956897	0.004310345	-0.9913793	SPRED3	-0.4687203	TRUE	A5
CTC1;A3:chr17:8140837-8141349:8140732-8141349:-	0.9491852	4.51	0.34	0.9298969	0.07010309	-0.8597938	0.8814647	4.31	0.73	0.8551587	0.1448413	-0.7103175	0.9015923	4.67	0.79	0.8553114	0.1446886	-0.7106227	CTC1	-0.7602447	TRUE	A3
DHRS2;A5:chr14:24113763-24114036:24113752-24114036:+	0	0	0.85	0	1	1	0	0	0.7	0	1	1	0	0	0.97	0	1	1	DHRS2	1	TRUE	A5
RPL38;A5:chr17:72199884-72200057:72199849-72200057:+	0.731796429138	2749.69	1183.38	0.699120534340858	0.300879465659142	-0.398241068681717	0.723407902271	2661.91	1191.29	0.690830997612374	0.309169002387626	-0.381661995224748	0.723643077121	2507.42	1122.06	0.690848275786063	0.309151724213937	-0.381696551572126	RPL38	-0.387199872066667	TRUE	A5
CD68;A3:chr17:7483044-7483128:7483044-7483209:+	0.902167620034	232.9	27.22	0.895355989543288	0.104644010456712	-0.790711979086576	0.900532347592	231.09	28.25	0.89106963831264	0.10893036168736	-0.782139276625279	0.901854754774	240.32	29.74	0.889876323779901	0.110123676220099	-0.779752647559802	CD68	-0.7842013012	TRUE	A3
FAM86JP;A5:chr3:125635660-125637707:125635562-125637707:+	0.39375113165	1.52	0.83	0.646808510638298	0.353191489361702	-0.293617021276596	1	2.13	0	1	0	-1	0.385098890178	1.47	0.93	0.6125	0.3875	-0.225	FAM86JP	-0.506205673666667	TRUE	A5
